CNN,STREET,ST_TYPE,ZIP_CODE,DISTRICT,ACCEPTED,JURISDICTI,NHOOD,LAYER,CNNTEXT,STREETNAME,STREETNA_2,ROWACTUALA,NEIGHBORHO,POINT_X,POINT_Y
10300000,PASADENA,ST,94134,10,N,,Visitacion Valley,UPROW,10300000,PASADENA ST,PASADENA ST fr:VELASCO AVE to:PASADENA ST,8167,Visitacion Valley,6006704.726,2086504.543
12944000,UNNAMED 068,,94112,11,N,,Crocker Amazon,UPROW,12944000,UNNAMED 068,UNNAMED 068  fr:BRUNSWICK ST to:HANOVER ST,5656,Crocker Amazon,6000120.512,2086975.669
12946000,UNNAMED 069,,94112,11,N,,Crocker Amazon,UPROW,12946000,UNNAMED 069,UNNAMED 069  fr:BRUNSWICK ST to:HANOVER ST,5572,Crocker Amazon,6000417.567,2087067.146
12949000,UNNAMED 070,,94112,11,N,,Crocker Amazon,UPROW,12949000,UNNAMED 070,UNNAMED 070  fr:BRUNSWICK ST to:END: 0-0 BLOCK,4131,Crocker Amazon,6000696.638,2087226.728
12947000,UNNAMED 069,,94112,11,N,,Crocker Amazon,UPROW,12947000,UNNAMED 069,UNNAMED 069  fr:HANOVER ST to:END: 0-0 BLOCK,1740,Crocker Amazon,6000510.717,2086765.085
9502000,NAPLES,ST,94112,11,N,DPW,Crocker Amazon,STREETS,9502000,NAPLES ST,NAPLES ST fr:MUNICH ST to:CURTIS ST,13432,Crocker Amazon,6000958.571,2087146.901
2906000,BELLEVUE,AVE,94112,11,N,DPW,Crocker Amazon,STREETS,2906000,BELLEVUE AVE,BELLEVUE AVE fr:POPE ST to:GUTTENBERG ST,23056,Crocker Amazon,6000121.357,2086192.072
2215000,ALPHA,ST,94134,10,N,DPW,Visitacion Valley,STREETS,2215000,ALPHA ST,ALPHA ST fr:ALPHA ST to:TEDDY AVE,7644,Visitacion Valley,6010878.466,2088055.969
7017000,HOLYOKE,ST,94134,10,N,DPW,Visitacion Valley,STREETS,7017000,HOLYOKE ST,HOLYOKE ST fr:CAMPBELL AVE to:END: 1401-1598 BLOCK,7869,Visitacion Valley,6011123.726,2088099.702
9451000,MUNICH,ST,94112,11,N,DPW,Crocker Amazon,STREETS,9451000,MUNICH ST,MUNICH ST fr:GENEVA AVE to:SOUTH HILL BLVD,10607,Crocker Amazon,6002582.157,2087790.037
13344000,WALBRIDGE,ST,94134,10,N,,Visitacion Valley,PAPER,13344000,WALBRIDGE ST,WALBRIDGE ST fr:GENEVA AVE to:END: 100-199 BLOCK,31128,Visitacion Valley,6005073.991,2086493.393
12939000,RIDGE,CT,94134,10,N,DPW,Crocker Amazon,PRIVATE,12939000,RIDGE CT,RIDGE CT fr:SADDLEBACK DR to:SADDLEBACK DR,0,Crocker Amazon,6004633.281,2086437.955
2700000,BALTIMORE,WAY,94112,11,N,DPW,Crocker Amazon,STREETS,2700000,BALTIMORE WAY,BALTIMORE WAY fr:START: 1-4 BLOCK to:SOUTH HILL BLVD,5639,Crocker Amazon,6003226.097,2086865.376
8391000,LINDA VISTA,STPS,94112,11,N,,Crocker Amazon,UPROW,8391000,LINDA VISTA STPS,LINDA VISTA STPS fr:ROLPH ST to:CHICAGO WAY,513,Crocker Amazon,6003404.862,2087191.351
11275000,SADDLEBACK,DR,94134,10,N,DPW,Crocker Amazon,PRIVATE,11275000,SADDLEBACK DR,SADDLEBACK DR fr:RIDGE CT to:RED LEAF CT,0,Crocker Amazon,6004269.551,2086306.668
8390000,LINDA VISTA,STPS,94112,11,N,,Crocker Amazon,UPROW,8390000,LINDA VISTA STPS,LINDA VISTA STPS fr:GENEVA AVE to:ROLPH ST,1385,Crocker Amazon,6003475.3,2087443.419
11272000,SADDLEBACK,DR,94134,10,N,DPW,Crocker Amazon,PRIVATE,11272000,SADDLEBACK DR,SADDLEBACK DR fr:BIRCHWOOD CT to:BIRCHWOOD CT,0,Crocker Amazon,6004516.101,2086212.752
12945000,UNNAMED 069,,94112,11,N,,Crocker Amazon,UPROW,12945000,UNNAMED 069,UNNAMED 069  fr:MORSE ST to:BRUNSWICK ST,5368,Crocker Amazon,6000280.351,2087512.635
9587000,NEWTON,ST,94112,11,N,DPW,Crocker Amazon,STREETS,9587000,NEWTON ST,NEWTON ST fr:BRUNSWICK ST to:NAPLES ST,5121,Crocker Amazon,6001126.784,2087510.719
12950000,UNNAMED 071,,94112,11,N,,Crocker Amazon,UPROW,12950000,UNNAMED 071,UNNAMED 071  fr:MORSE ST to:BRUNSWICK ST,5529,Crocker Amazon,6000875.888,2087704.088
12948000,UNNAMED 070,,94112,11,N,,Crocker Amazon,UPROW,12948000,UNNAMED 070,UNNAMED 070  fr:MORSE ST to:BRUNSWICK ST,5400,Crocker Amazon,6000579.412,2087606.161
12943000,UNNAMED 068,,94112,11,N,,Crocker Amazon,UPROW,12943000,UNNAMED 068,UNNAMED 068  fr:MORSE ST to:BRUNSWICK ST,5325,Crocker Amazon,5999977.341,2087418.368
